,Model name,Threshold,Accuracy,True Positives,False Positive,FP Percent,True Negatives,False Negatives,FN Percent,Recall
57,heart_disease_imbalanced,0.15,0.9230791153670771,62463,3767,5.687754793900045,2315,1631,41.33299543841865,0.5866700456158135
58,heart_disease_imbalanced,0.1,0.8946220930232558,60114,6116,9.234485882530576,2667,1279,32.41256969082615,0.6758743030917385
59,heart_disease_imbalanced,0.05,0.8153927268581851,53998,12232,18.468971765061152,3223,723,18.322351748606184,0.8167764825139382
60,heart_disease_RO,0.5,0.8548221614227086,57071,9159,13.829080477125169,2917,1029,26.077040040547388,0.739229599594526
61,heart_disease_RO,0.45,0.8340600775193798,55473,10757,16.241884342443,3058,888,22.503801317790167,0.7749619868220984
62,heart_disease_RO,0.4,0.810234268125855,53687,12543,18.93854748603352,3172,774,19.614799797263053,0.8038520020273695
63,heart_disease_RO,0.35,0.784655722754218,51776,14454,21.823946851879814,3288,658,16.675114039533707,0.833248859604663
64,heart_disease_RO,0.3,0.7546882124943001,49572,16658,25.151743922693644,3389,557,14.115560060821084,0.8588443993917891
65,heart_disease_RO,0.25,0.7212294801641587,47130,19100,28.83889476068247,3483,463,11.733400912316268,0.8826659908768373
66,heart_disease_RO,0.2,0.6815150478796169,44238,21992,33.20549599879209,3588,358,9.07247845919919,0.9092752154080082
67,heart_disease_RO,0.15,0.6322959416324669,40697,25533,38.552015702853694,3675,271,6.86771414090218,0.9313228585909782
68,heart_disease_RO,0.1,0.56265674874601,35729,30501,46.053148120187224,3756,190,4.81500253421186,0.9518499746578813
69,heart_disease_RO,0.05,0.44945565435476514,27700,38530,58.17605314812019,3841,105,2.6609224531170805,0.9733907754688292
70,heart_disease_RU,0.5,0.809593023255814,53626,12604,19.03065076249434,3188,758,19.20932589964521,0.8079067410035479
71,heart_disease_RU,0.45,0.7863942088463293,51892,14338,21.648799637626453,3294,652,16.523061327927014,0.8347693867207299
72,heart_disease_RU,0.4,0.7618559051527588,50068,16162,24.40283859278273,3396,550,13.938165230613278,0.8606183476938672
73,heart_disease_RU,0.35,0.7346386228910169,48062,18168,27.43167748754341,3492,454,11.505321844906234,0.8849467815509376
74,heart_disease_RU,0.3,0.7054976060191519,45938,20292,30.638683376113544,3571,375,9.503294475418144,0.9049670552458186
75,heart_disease_RU,0.25,0.6712551299589603,43464,22766,34.37415068699985,3642,304,7.704004054738976,0.9229599594526102
76,heart_disease_RU,0.2,0.6314979480164159,40598,25632,38.70149479088026,3718,228,5.778003041054232,0.9422199695894576
